timestamps,values
2018/12/08 18:54:00,1
2018/12/08 18:57:00,1
2018/12/08 19:00:00,1
2018/12/08 19:03:00,1
2018/12/08 19:06:00,1
2018/12/08 19:09:00,1
2018/12/08 19:12:00,1
2018/12/08 19:15:00,1
2018/12/08 19:18:00,1
2018/12/08 19:21:00,1
2018/12/08 19:24:00,1
2018/12/08 19:27:00,1
2018/12/08 19:30:00,1
2018/12/08 19:33:00,1
2018/12/08 19:36:00,1
2018/12/08 19:39:00,1
2018/12/08 19:42:00,1
2018/12/08 19:45:00,1
2018/12/08 19:48:00,1
2018/12/08 19:51:00,1
2018/12/08 19:54:00,1
2018/12/08 19:57:00,1
2018/12/08 20:00:00,1
2018/12/08 20:03:00,1
2018/12/08 20:06:00,1
2018/12/08 20:09:00,1
2018/12/08 20:12:00,1
2018/12/08 20:15:00,1
2018/12/08 20:18:00,1
2018/12/08 20:21:00,1
2018/12/08 20:24:00,1
2018/12/08 20:27:00,1
2018/12/08 20:30:00,1
2018/12/08 20:33:00,1
2018/12/08 20:36:00,1
2018/12/08 20:39:00,1
2018/12/08 20:42:00,1
2018/12/08 20:45:00,1
2018/12/08 20:48:00,1
2018/12/08 20:51:00,1
2018/12/08 20:54:00,1
2018/12/08 20:57:00,1
2018/12/08 21:00:00,1
2018/12/08 21:03:00,1
2018/12/08 21:06:00,1
2018/12/08 21:09:00,1
2018/12/08 21:12:00,1
2018/12/08 21:15:00,1
2018/12/08 21:18:00,1
2018/12/08 21:21:00,1
2018/12/08 21:24:00,1
2018/12/08 21:27:00,1
2018/12/08 21:30:00,1
2018/12/08 21:33:00,1
2018/12/08 21:36:00,1
2018/12/08 21:39:00,1
2018/12/08 21:42:00,1
2018/12/08 21:45:00,1
2018/12/08 21:48:00,1
2018/12/08 21:51:00,1
2018/12/08 21:54:00,1
2018/12/08 21:57:00,1
2018/12/08 22:00:00,1
2018/12/08 22:03:00,1
2018/12/08 22:06:00,1
2018/12/08 22:09:00,1
2018/12/08 22:12:00,1
2018/12/08 22:15:00,1
2018/12/08 22:18:00,1
2018/12/08 22:21:00,1
2018/12/08 22:24:00,1
2018/12/08 22:27:00,1
